conversation_id,turn_number,customer_type,complexity,frustration_score,frustration_level,frustration_confidence,frustration_intervention_needed,escalation_trend,contributing_factors,current_query_score,pattern_score,customer_query
1,1,frustrated,medium,2.8,low,0.6,False,none,strong_negative_sentiment,4.0,0.0,Why did my premium increase by $200? This is ridiculous - I haven't had any claims!
1,2,frustrated,medium,4.375,moderate,0.6,False,none,high_frustration_language; strong_negative_sentiment,6.25,0.0,"""I can't believe you are giving me this runaround! I demand to know why my premium increased by $200 when I haven't had any claims. This is ridiculous and unacceptable - GIVE ME A GOOD EXPLANATION RIGHT NOW!"""
1,3,frustrated,medium,1.75,low,0.5,False,none,,2.5,0.0,This isn't working. I need to speak to someone who can actually help me!
2,1,urgent,simple,1.575,low,0.6,False,none,,2.25,0.0,I just had a car accident. What do I need to do right now?
2,2,urgent,simple,1.75,low,0.5,False,none,,2.5,0.0,"- Shows appreciation for the chatbot's response

""Thank you so much for your help! I really appreciate it. Can you tell me more about what I need to do next? Do I need to fill out any forms or provide any documentation?"""
2,3,urgent,simple,2.275,low,0.6,False,none,,3.25,0.0,"Oh, great! So I should just call the police right away? What else do I need to do? This is a huge hassle and I want to get it taken care of ASAP."
3,1,confused,simple,2.625,low,0.6,False,none,,3.75,0.0,Can someone explain what a deductible is? I keep seeing this word but don't understand.
3,2,confused,simple,1.75,low,0.5,False,none,,2.5,0.0,"Oh, okay. So a deductible is like a savings account for insurance? Like I have to put money aside before my insurance covers anything? That makes sense, right?"
3,3,confused,simple,2.4499999999999997,low,0.6,False,none,,3.5,0.0,"Oh, okay! So... when I get sick or injured, I have to pay for the first part of the medical bill myself? And then my insurance covers the rest? 
(Polite tone) Do you have any examples of how much a deductible can be? And how does it work in real-life situations?"
3,4,confused,simple,1.9249999999999998,low,0.6,False,none,,2.75,0.0,I'm still not clear on this. I think I need to talk to someone in person.
3,5,confused,simple,2.625,low,0.6,False,none,,3.75,0.0,I'm still not clear on this. I think I need to talk to someone in person.
3,6,confused,simple,2.625,low,0.6,False,none,,3.75,0.0,I'm still not clear on this. I think I need to talk to someone in person.
3,7,confused,simple,2.625,low,0.6,False,none,,3.75,0.0,I'm still not clear on this. I think I need to talk to someone in person.
3,8,confused,simple,1.9249999999999998,low,0.6,False,none,,2.75,0.0,I'm still not clear on this. I think I need to talk to someone in person.
4,1,normal,simple,0.35,low,0.5,False,none,,0.5,0.0,How do I add my teenage daughter to my auto policy?
4,2,normal,simple,0.35,low,0.5,False,none,,0.5,0.0,"Oh, okay! So I just need to add her as a driver on my policy? Is that correct? And how do I go about doing that?"
